15M          Fifteen minutes
KPR          Killer pair report
KSDS         Key sequence data set (IBM)
KSM          Create a transaction mask
KSR          Keyboard send-receive
KSU          Key service unit
KTA          Korea telecommunication authority (ROK)
KTS          Key telephone set
KTS          Key telephone system
KW           Keyword
L2DOWN       Level 2 is inoperable.
L2QLTY       Poor level 2 transmission quality.
L3-ERC       Layer 3 error control (IOS)
L3M          Layer 3 mgr. (IOS)
LAC          LAN application controller
LAC          Loop assignment center
LAD          Label definition
LAD          Loop activity data
LADS         Local area data service
LADT         Local access data transport
LADT         Local area data transport
LAI          Line equipment assignment inquiry
LAIS         Local automatic intercept system
LAJMS        Ledger and journal maintenance system
LA           Local area data channel INTER/TRA blocal 1-26
LA           Loop assignment
LAMA-C       Computerized local AMA for No. 5 crossbar
LAMA         Local automatic message accounting
LAN          Local area network
LANMS        Light amplified by stimulated emission of radiation
L/AOS        Legal/advanced office system
LAPB         (LAP-B) link access procedure of balanced mode
LAPD         (LAP-D) link access procedure of D-channels
LAPD         Link access procedure on the D channel
LAP          Link access protocol
LAPM         (LAP-M) link access protocol for modems
LAPX         Lapb extended (t.71)
LARG         Lidb access routing guide
LASS         Local alarm scanning system
LASS         Local area signaling service
LATA         Local access and transport area
LATA         Local access and transport areas
LATA         Local access transport area
LATIS I/F    Loop activity tracking information system interface
LATIS/INPUT  Locally developed program used to input to the latis system
LATIS        Loop activity tracking information system
LAT          Local access termianl (RMS-D1)
LBBD         Loopback B1
LBI          Load balance index
LBK          Loopback
LBK          Loop test (SARTS command)
LBL          Online tape label printing
LBNCGI       LIDB BNS message with call gapping indicator present
LBNGM        LIDB BNS garbled message
LBn          Loopback channel bn request (command in IOM2 monitor and EOC)
LBNMGM       LIDB BNS return value missing group or misrouted
LBNNAN       LIDB BNS return value no translation for an address of such nature
LBNNCG       LIDB BNS return value network congestion
LBNNFL       LIDB BNS return value network failure
LBNNPG       LIDB BNS return value nonparticipating group
LBNNSA       LIDB BNS return value no translation for this specific address
LBNREJ       LIDB BNS reject message received
LBNSCG       LIDB BNS return value subsystem congestion
LBNSFL       LIDB BNS return value subsystem failure
LBNTO        LIDB BNS message missed because of timeout
LBNUP        LIDB BNS message with unexpected reply
LBNUUR       LIDB BNS return value unequipped user
LBO          Line buildout
LBP          Load balance parameters
LBR          Large business remote
LBRV         Low bit rate voice
LBS          Land and building system
LBS          Load balance system
LBS          Load balance system (BTL) module of tnds
LBST         Loopback device signature table
LBU          Loopback devices signature table
LBU          Loopback unit
LB           Voice-non switched line-service code for LATA access
LCAMOS       Loop cable administration and maintenance operations system (predictor)
LCCIS        Local common channel interoffice signaling
LCC          Line class code
LCCL         Line card cable
LCCLN        Line card cable narrative
LCDCGI       LIDB CCRD message with call gapping indicator present
LCDGM        LIDB CCRD garbled message
LCD          List cable summary
LCDMGM       LIDB CCRD return value missing group or misrouted
LCDNAN       LIDB CCRD return value no translation for an address of such nature
LCDNCG       LIDB CCRD return value network congestion
LCDNFL       LIDB CCRD return value network failure
LCDN         Last called directory number
LCDNPG       LIDB CCRD return value nonparticipating group
LCDNSA       LIDB CCRD return value no translation for this specific address
LCDREJ       LIDB CCRD reject message received
LCDR         Local call detail recording
LCDSCG       LIDB CCRD return value subsystem congestion
LCDSFL       LIDB CCRD return value subsystem failure
LCDTO        LIDB CCRD message missed because of timeout
LCDUP        LIDB CCRD message with unexpected reply
LCDUUR       LIDB CCRD return value unequipped user
LCE          Line concentrating equipment frame
LCEN         Line card equipment number
LCIE         Lightguide cable interconnection equipment
LCI          LAN CPU interface
LC           Line card
LC           Line count
LCLOC        Line card location
LCMC         Line concentrating controller module
LCM          Line concentrating module
LCN          Logical channel number
LCN          Logical channel numbers
LCOS         Line Class of service (GTE)
LC           Output line count
LC           Pending service order count
LCP          Language conversion program
LCP          List cable pairs
LCR          Least cost routing
LCR          Line concentration ratio
LCRMKR       Line card remarks
LCS7         Link controller for signaling system No.7
LCSE         Line card service and equipment
LCSEN        Line card service and equipment narrative
LCS.MIT.EDU  Telecomm digest archive site on the Internet
LC           Voice-switched line-service code for LATA access
LDBM         Listing data base maintenance
LDES         Long distance experimental schedule
